rank,hex_id,lat,lon,resolution,divipola_code,municipality,department,wind_speed,slope,dist_to_grid,dist_to_roads,land_use,protected_area,conflict_risk,wind_speed_norm,slope_norm,dist_to_grid_norm,dist_to_roads_norm,land_use_norm,protected_area_norm,conflict_risk_norm,suitability_score
926,876623cccffffff,10.5455,-73.9631,7,47053,Aracataca,Magdalena,7.5900,15.6300,122.0000,115.0000,0.2740,0.4790,0.0590,0.8252,0.3657,0.5120,0.2333,0.3549,0.5210,0.9366,0.4124
927,876623191ffffff,10.4651,-73.9120,7,47288,Fundaci�N,Magdalena,7.7800,15.9000,114.3000,121.9000,0.1840,0.4020,0.0260,0.8509,0.3547,0.5428,0.1873,0.2383,0.5980,0.9720,0.4124
928,876623c0dffffff,10.6768,-73.9315,7,47980,Zona Bananera,Magdalena,7.6900,14.8700,125.9000,122.7000,0.2170,0.7510,0.0320,0.8388,0.3965,0.4964,0.1820,0.2811,0.2490,0.9656,0.4123
929,876623c16ffffff,10.7265,-74.0633,7,47980,Zona Bananera,Magdalena,7.7000,14.4800,108.1000,105.2000,0.1390,0.8440,0.0260,0.8401,0.4123,0.5676,0.2987,0.1801,0.1560,0.9720,0.4123
930,876623902ffffff,10.8675,-73.5833,7,20570,Pueblo Bello,Cesar,7.2500,14.2900,166.5000,146.4000,0.2990,0.5080,0.0000,0.7791,0.4200,0.3340,0.0240,0.3873,0.4920,1.0000,0.4121
931,876622aa9ffffff,10.9772,-74.2935,7,47570,Puebloviejo,Magdalena,8.1600,12.6600,109.6000,94.8000,0.0980,0.7920,0.0370,0.9024,0.4862,0.5616,0.3680,0.1269,0.2080,0.9602,0.4121
932,876622b76ffffff,11.1534,-74.1406,7,47001,Santa Marta,Magdalena,8.2600,15.1500,130.6000,117.8000,0.1640,0.9230,0.0000,0.9160,0.3851,0.4776,0.2147,0.2124,0.0770,1.0000,0.4119
933,876623124ffffff,10.6033,-73.7045,7,20570,Pueblo Bello,Cesar,7.5700,15.6800,140.1000,145.3000,0.3020,0.4460,0.0170,0.8225,0.3636,0.4396,0.0313,0.3912,0.5540,0.9817,0.4117
934,876622a23ffffff,11.0692,-74.2069,7,47189,Ci�Naga,Magdalena,8.1500,13.0900,110.7000,104.7000,0.0760,0.9090,0.0000,0.9011,0.4688,0.5572,0.3020,0.0984,0.0910,1.0000,0.4117
935,876622a53ffffff,10.9277,-74.1616,7,47189,Ci�Naga,Magdalena,8.4500,15.1500,109.8000,104.7000,0.1310,0.9760,0.0120,0.9417,0.3851,0.5608,0.3020,0.1697,0.0240,0.9871,0.4115
936,876622a21ffffff,11.0768,-74.1867,7,47189,Ci�Naga,Magdalena,7.7400,14.1000,116.7000,105.5000,0.1110,0.9530,0.0000,0.8455,0.4278,0.5332,0.2967,0.1438,0.0470,1.0000,0.4113
937,876622a48ffffff,10.9040,-74.0663,7,47980,Zona Bananera,Magdalena,8.2600,14.5500,121.3000,117.6000,0.1560,1.0000,0.0150,0.9160,0.4095,0.5148,0.2160,0.2021,0.0000,0.9839,0.4112
938,876620389ffffff,11.1025,-73.4842,7,44090,Dibulla,La Guajira,7.2900,13.6000,184.8000,129.2000,0.3080,0.4010,0.0220,0.7846,0.4481,0.2608,0.1387,0.3990,0.5990,0.9763,0.4108
939,876623cf6ffffff,10.6311,-74.0526,7,47053,Aracataca,Magdalena,7.2300,14.7600,109.3000,115.1000,0.1720,0.6490,0.0320,0.7764,0.4010,0.5628,0.2327,0.2228,0.3510,0.9656,0.4108
940,87662061cffffff,11.0284,-73.8407,7,47980,Zona Bananera,Magdalena,7.6800,14.9900,152.6000,142.0000,0.2760,0.9640,0.0000,0.8374,0.3916,0.3896,0.0533,0.3575,0.0360,1.0000,0.4108
941,876623992ffffff,10.8123,-73.7827,7,47980,Zona Bananera,Magdalena,7.6200,15.6900,135.9000,136.9000,0.2580,0.7990,0.0050,0.8293,0.3632,0.4564,0.0873,0.3342,0.2010,0.9946,0.4108
942,8766231b5ffffff,10.5347,-73.8861,7,47053,Aracataca,Magdalena,7.4600,16.7900,128.6000,128.1000,0.2100,0.4820,0.0000,0.8076,0.3186,0.4856,0.1460,0.2720,0.5180,1.0000,0.4107
943,876623189ffffff,10.4208,-73.8186,7,20570,Pueblo Bello,Cesar,7.6600,16.5400,133.3000,135.3000,0.2110,0.3360,0.0000,0.8347,0.3287,0.4668,0.0980,0.2733,0.6640,1.0000,0.4107
944,876623c32ffffff,10.7547,-74.0412,7,47980,Zona Bananera,Magdalena,7.9000,14.7300,117.7000,112.8000,0.1300,0.8480,0.0000,0.8672,0.4022,0.5292,0.2480,0.1684,0.1520,1.0000,0.4104
945,876623d28ffffff,10.8620,-73.9144,7,47980,Zona Bananera,Magdalena,7.8900,14.1400,128.2000,124.4000,0.1480,0.9760,0.0000,0.8659,0.4261,0.4872,0.1707,0.1917,0.0240,1.0000,0.4102
946,876622a4dffffff,10.9116,-74.0462,7,47980,Zona Bananera,Magdalena,7.7300,15.3000,111.7000,116.1000,0.1640,1.0000,0.0180,0.8442,0.3791,0.5532,0.2260,0.2124,0.0000,0.9806,0.4099
947,8766204d9ffffff,11.1760,-74.0800,7,47001,Santa Marta,Magdalena,8.2600,14.5000,137.6000,125.7000,0.1690,0.9730,0.0000,0.9160,0.4115,0.4496,0.1620,0.2189,0.0270,1.0000,0.4096
948,876623c21ffffff,10.7516,-73.9441,7,47980,Zona Bananera,Magdalena,7.4800,16.0400,122.6000,121.5000,0.1850,0.8400,0.0000,0.8103,0.3490,0.5096,0.1900,0.2396,0.1600,1.0000,0.4096
949,876623c58ffffff,10.5760,-73.8823,7,47053,Aracataca,Magdalena,7.7900,16.4500,125.0000,122.2000,0.2050,0.5500,0.0140,0.8523,0.3324,0.5000,0.1853,0.2655,0.4500,0.9849,0.4095
950,876620685ffffff,11.0111,-73.9396,7,47189,Ci�Naga,Magdalena,8.2400,14.2900,127.5000,133.2000,0.1730,1.0000,0.0080,0.9133,0.4200,0.4900,0.1120,0.2241,0.0000,0.9914,0.4092
951,876623c9dffffff,10.6211,-74.1316,7,47053,Aracataca,Magdalena,7.7500,15.3800,98.0000,95.0000,0.1320,0.6170,0.0350,0.8469,0.3758,0.6080,0.3667,0.1710,0.3830,0.9624,0.4090
952,87662356bffffff,10.4085,-73.9562,7,47030,Algarrobo,Magdalena,7.2800,16.1200,119.9000,116.1000,0.1700,0.3320,0.0100,0.7832,0.3458,0.5204,0.2260,0.2202,0.6680,0.9892,0.4090
953,8766207a6ffffff,11.2083,-73.9408,7,47001,Santa Marta,Magdalena,7.8800,15.9200,147.6000,131.5000,0.2830,0.8890,0.0070,0.8645,0.3539,0.4096,0.1233,0.3666,0.1110,0.9925,0.4087
954,876623cf0ffffff,10.6181,-74.0343,7,47053,Aracataca,Magdalena,7.7700,15.1300,112.9000,106.2000,0.1170,0.6390,0.0000,0.8496,0.3860,0.5484,0.2920,0.1516,0.3610,1.0000,0.4086
955,876623c5dffffff,10.5836,-73.8621,7,20570,Pueblo Bello,Cesar,7.8500,16.2500,127.0000,126.6000,0.2080,0.5170,0.0140,0.8604,0.3405,0.4920,0.1560,0.2694,0.4830,0.9849,0.4085
956,8766206aaffffff,10.9981,-73.9213,7,47189,Ci�Naga,Magdalena,7.7500,15.0100,142.3000,130.0000,0.2070,1.0000,0.0000,0.8469,0.3908,0.4308,0.1333,0.2681,0.0000,1.0000,0.4082
957,876623540ffffff,10.4269,-74.0130,7,47288,Fundaci�N,Magdalena,7.7600,16.6800,115.1000,111.1000,0.1900,0.3810,0.0350,0.8482,0.3231,0.5396,0.2593,0.2461,0.6190,0.9624,0.4082
958,876622243ffffff,10.5882,-74.2713,7,47268,El Ret�N,Magdalena,7.5400,13.9200,83.6000,82.2000,0.0440,0.4410,0.0110,0.8184,0.4351,0.6656,0.4520,0.0570,0.5590,0.9882,0.4081
959,876623c73ffffff,10.6508,-73.8949,7,47980,Zona Bananera,Magdalena,8.0700,16.9800,123.4000,128.5000,0.2480,0.6960,0.0250,0.8902,0.3109,0.5064,0.1433,0.3212,0.3040,0.9731,0.4080
960,876623c41ffffff,10.6119,-73.8400,7,20570,Pueblo Bello,Cesar,7.5700,16.1400,128.8000,129.3000,0.1970,0.5870,0.0000,0.8225,0.3450,0.4848,0.1380,0.2552,0.4130,1.0000,0.4079
961,876622b1cffffff,11.1565,-74.2377,7,47001,Santa Marta,Magdalena,8.2100,13.7400,118.4000,107.7000,0.1320,0.8000,0.0300,0.9092,0.4424,0.5264,0.2820,0.1710,0.2000,0.9677,0.4075
962,876622b4bffffff,11.0272,-74.0549,7,47189,Ci�Naga,Magdalena,8.2000,14.2300,134.1000,121.1000,0.2190,1.0000,0.0430,0.9079,0.4225,0.4636,0.1927,0.2837,0.0000,0.9538,0.4075
963,8766204ebffffff,11.2191,-74.0176,7,47001,Santa Marta,Magdalena,7.6700,15.7600,139.8000,130.5000,0.2250,0.8870,0.0000,0.8360,0.3604,0.4408,0.1300,0.2915,0.1130,1.0000,0.4074
964,876620394ffffff,11.1801,-73.5936,7,44090,Dibulla,La Guajira,7.7500,12.7400,180.3000,133.9000,0.2650,0.4870,0.0320,0.8469,0.4830,0.2788,0.1073,0.3433,0.5130,0.9656,0.4074
965,876623891ffffff,10.6629,-73.7575,7,20570,Pueblo Bello,Cesar,7.6200,15.9300,142.8000,142.8000,0.2750,0.5890,0.0010,0.8293,0.3535,0.4288,0.0480,0.3562,0.4110,0.9989,0.4068
966,876622b29ffffff,11.1739,-74.1386,7,47001,Santa Marta,Magdalena,8.0700,16.2900,131.5000,127.1000,0.2000,0.9180,0.0000,0.8902,0.3389,0.4740,0.1527,0.2591,0.0820,1.0000,0.4065
967,8766204e1ffffff,11.2729,-74.0321,7,47001,Santa Marta,Magdalena,8.6300,13.2700,148.6000,135.7000,0.1780,0.8220,0.0060,0.9661,0.4614,0.4056,0.0953,0.2306,0.1780,0.9935,0.4062
968,876622b5cffffff,11.0660,-74.1097,7,47189,Ci�Naga,Magdalena,8.0500,15.3400,122.3000,118.2000,0.1490,1.0000,0.0000,0.8875,0.3774,0.5108,0.2120,0.1930,0.0000,1.0000,0.4060
969,876623c36ffffff,10.7753,-74.0393,7,47980,Zona Bananera,Magdalena,7.8500,14.9400,115.6000,110.5000,0.1730,0.8770,0.0370,0.8604,0.3937,0.5376,0.2633,0.2241,0.1230,0.9602,0.4060
970,876623d93ffffff,10.7837,-74.1750,7,47980,Zona Bananera,Magdalena,8.6000,15.1600,102.3000,95.3000,0.1150,0.8440,0.0230,0.9621,0.3847,0.5908,0.3647,0.1490,0.1560,0.9753,0.4059
971,8766206f0ffffff,10.9593,-73.8665,7,47980,Zona Bananera,Magdalena,8.0000,15.7200,143.1000,135.3000,0.2320,1.0000,0.0000,0.8808,0.3620,0.4276,0.0980,0.3005,0.0000,1.0000,0.4058
972,876620619ffffff,10.9949,-73.8243,7,47980,Zona Bananera,Magdalena,7.6000,15.8800,139.4000,142.0000,0.2560,0.9440,0.0000,0.8266,0.3555,0.4424,0.0533,0.3316,0.0560,1.0000,0.4056
973,8766206f5ffffff,10.9668,-73.8464,7,47980,Zona Bananera,Magdalena,7.7700,15.9100,151.1000,139.9000,0.2850,0.9670,0.0000,0.8496,0.3543,0.3956,0.0673,0.3692,0.0330,1.0000,0.4052
974,876620688ffffff,10.9571,-73.9251,7,47980,Zona Bananera,Magdalena,8.1500,14.8800,135.3000,130.8000,0.1770,1.0000,0.0000,0.9011,0.3961,0.4588,0.1280,0.2293,0.0000,1.0000,0.4051
975,876623cd6ffffff,10.5822,-74.0767,7,47053,Aracataca,Magdalena,8.1900,16.3800,105.1000,97.8000,0.1050,0.5330,0.0000,0.9065,0.3352,0.5796,0.3480,0.1360,0.4670,1.0000,0.4051
976,876620716ffffff,11.2105,-73.8822,7,47001,Santa Marta,Magdalena,8.0300,14.6300,139.8000,137.9000,0.2080,0.8650,0.0050,0.8848,0.4062,0.4408,0.0807,0.2694,0.1350,0.9946,0.4050
977,876623c09ffffff,10.6562,-73.9334,7,47980,Zona Bananera,Magdalena,7.8500,14.7600,123.7000,118.3000,0.1720,0.6810,0.0270,0.8604,0.4010,0.5052,0.2113,0.2228,0.3190,0.9710,0.4049
978,876622b06ffffff,11.1975,-74.2338,7,47001,Santa Marta,Magdalena,8.1400,13.0900,124.7000,112.4000,0.1160,0.7910,0.0180,0.8997,0.4688,0.5012,0.2507,0.1503,0.2090,0.9806,0.4048
979,8766231a4ffffff,10.5500,-73.8457,7,20570,Pueblo Bello,Cesar,7.6400,16.1100,136.3000,131.0000,0.2890,0.4960,0.0340,0.8320,0.3462,0.4548,0.1267,0.3744,0.5040,0.9634,0.4046
980,8766206a5ffffff,11.0596,-73.9156,7,47001,Santa Marta,Magdalena,7.5800,13.9500,138.9000,135.7000,0.1760,1.0000,0.0000,0.8238,0.4338,0.4444,0.0953,0.2280,0.0000,1.0000,0.4043
981,876620693ffffff,10.9808,-74.0203,7,47189,Ci�Naga,Magdalena,8.3300,16.4700,128.7000,121.7000,0.1820,1.0000,0.0000,0.9255,0.3316,0.4852,0.1887,0.2358,0.0000,1.0000,0.4042
982,87662005bffffff,11.2359,-73.5497,7,44090,Dibulla,La Guajira,7.9600,14.7300,178.4000,130.4000,0.2640,0.4040,0.0080,0.8753,0.4022,0.2864,0.1307,0.3420,0.5960,0.9914,0.4042
983,876622b4effffff,11.0607,-74.0713,7,47189,Ci�Naga,Magdalena,7.9200,14.2900,120.8000,115.2000,0.1400,1.0000,0.0150,0.8699,0.4200,0.5168,0.2320,0.1813,0.0000,0.9839,0.4041
984,876623db0ffffff,10.8531,-74.1490,7,47980,Zona Bananera,Magdalena,8.0700,14.6700,118.3000,101.3000,0.1290,0.9120,0.0180,0.8902,0.4046,0.5268,0.3247,0.1671,0.0880,0.9806,0.4041
985,87662355cffffff,10.3985,-74.0351,7,47288,Fundaci�N,Magdalena,7.5600,15.3800,94.3000,105.8000,0.0960,0.3480,0.0100,0.8211,0.3758,0.6228,0.2947,0.1244,0.6520,0.9892,0.4037
986,876620453ffffff,11.2675,-73.9937,7,47001,Santa Marta,Magdalena,8.0300,13.9300,146.6000,138.0000,0.1980,0.8100,0.0060,0.8848,0.4347,0.4136,0.0800,0.2565,0.1900,0.9935,0.4036
987,876623c44ffffff,10.6455,-73.8564,7,47980,Zona Bananera,Magdalena,7.5600,16.1800,127.2000,128.0000,0.1880,0.6470,0.0000,0.8211,0.3433,0.4912,0.1467,0.2435,0.3530,1.0000,0.4035
988,876622b0bffffff,11.1178,-74.1828,7,47001,Santa Marta,Magdalena,8.6000,14.4900,122.9000,108.6000,0.1520,0.9200,0.0310,0.9621,0.4119,0.5084,0.2760,0.1969,0.0800,0.9667,0.4029
989,876623d30ffffff,10.9063,-74.0077,7,47980,Zona Bananera,Magdalena,7.7600,15.2800,123.4000,120.5000,0.1750,1.0000,0.0140,0.8482,0.3799,0.5064,0.1967,0.2267,0.0000,0.9849,0.4029
990,876623d03ffffff,10.8392,-73.9749,7,47980,Zona Bananera,Magdalena,7.9900,15.4200,125.3000,119.0000,0.2030,0.9780,0.0320,0.8794,0.3742,0.4988,0.2067,0.2630,0.0220,0.9656,0.4029
991,876623553ffffff,10.4039,-74.0736,7,47288,Fundaci�N,Magdalena,7.3700,14.3100,111.3000,102.1000,0.1390,0.3160,0.0490,0.7954,0.4192,0.5548,0.3193,0.1801,0.6840,0.9473,0.4028
992,87662224dffffff,10.5699,-74.2144,7,47053,Aracataca,Magdalena,7.7500,13.0700,92.1000,89.8000,0.1290,0.4670,0.0930,0.8469,0.4696,0.6316,0.4013,0.1671,0.5330,0.9000,0.4027
993,876620694ffffff,11.0218,-74.0165,7,47189,Ci�Naga,Magdalena,8.0500,16.0900,124.9000,126.3000,0.1970,1.0000,0.0110,0.8875,0.3470,0.5004,0.1580,0.2552,0.0000,0.9882,0.4026
994,876623121ffffff,10.5697,-73.6881,7,20570,Pueblo Bello,Cesar,7.9800,15.3000,138.2000,146.7000,0.2430,0.3840,0.0230,0.8780,0.3791,0.4472,0.0220,0.3148,0.6160,0.9753,0.4026
995,876623d26ffffff,10.9214,-73.9673,7,47980,Zona Bananera,Magdalena,7.9300,14.1100,126.4000,127.0000,0.2030,1.0000,0.0430,0.8713,0.4274,0.4944,0.1533,0.2630,0.0000,0.9538,0.4025
996,876622b2dffffff,11.1943,-74.1367,7,47001,Santa Marta,Magdalena,8.2900,14.6500,134.0000,120.2000,0.2040,0.8900,0.0360,0.9201,0.4054,0.4640,0.1987,0.2642,0.1100,0.9613,0.4025
997,876623542ffffff,10.4192,-74.0332,7,47288,Fundaci�N,Magdalena,7.2900,14.6300,105.2000,105.2000,0.0860,0.3570,0.0000,0.7846,0.4062,0.5792,0.2987,0.1114,0.6430,1.0000,0.4024
998,87662039affffff,11.1058,-73.5810,7,44090,Dibulla,La Guajira,7.7800,14.4900,172.9000,139.4000,0.2860,0.5680,0.0080,0.8509,0.4119,0.3084,0.0707,0.3705,0.4320,0.9914,0.4024
999,876620686ffffff,11.0165,-73.9780,7,47189,Ci�Naga,Magdalena,7.6500,13.9200,134.8000,132.8000,0.1750,1.0000,0.0090,0.8333,0.4351,0.4608,0.1147,0.2267,0.0000,0.9903,0.4019
1000,8766206a0ffffff,11.0521,-73.9358,7,47001,Santa Marta,Magdalena,7.9700,16.0600,130.3000,129.6000,0.1910,1.0000,0.0000,0.8767,0.3482,0.4788,0.1360,0.2474,0.0000,1.0000,0.4019
1001,87662069bffffff,10.9344,-73.9856,7,47980,Zona Bananera,Magdalena,8.2100,14.4500,133.9000,123.5000,0.1610,1.0000,0.0060,0.9092,0.4136,0.4644,0.1767,0.2085,0.0000,0.9935,0.4018
1002,876623c9affffff,10.6058,-74.1720,7,47053,Aracataca,Magdalena,8.0800,13.8000,95.3000,94.9000,0.0700,0.5530,0.0250,0.8916,0.4399,0.6188,0.3673,0.0907,0.4470,0.9731,0.4017
1003,876623025ffffff,10.4459,-73.6994,7,20570,Pueblo Bello,Cesar,7.3500,16.2900,135.2000,145.8000,0.2230,0.3320,0.0000,0.7927,0.3389,0.4592,0.0280,0.2889,0.6680,1.0000,0.4016
1004,876623813ffffff,10.7085,-73.6366,7,20570,Pueblo Bello,Cesar,7.2700,14.2900,152.6000,148.1000,0.2520,0.4960,0.0070,0.7818,0.4200,0.3896,0.0127,0.3264,0.5040,0.9925,0.4014
1005,87662236affffff,10.7479,-74.2173,7,47980,Zona Bananera,Magdalena,8.7500,15.2800,92.1000,93.5000,0.0680,0.7250,0.0000,0.9824,0.3799,0.6316,0.3767,0.0881,0.2750,1.0000,0.4014
1006,876623d1cffffff,10.8316,-73.9951,7,47980,Zona Bananera,Magdalena,7.4600,15.1400,119.6000,122.3000,0.1640,0.9640,0.0070,0.8076,0.3856,0.5216,0.1847,0.2124,0.0360,0.9925,0.4013
1007,87662048affffff,11.2740,-74.1877,7,47001,Santa Marta,Magdalena,8.1500,14.3900,131.6000,119.8000,0.1340,0.7290,0.0000,0.9011,0.4160,0.4736,0.2013,0.1736,0.2710,1.0000,0.4013
1008,876623c2dffffff,10.7256,-73.9075,7,47980,Zona Bananera,Magdalena,7.8400,14.4600,122.9000,123.2000,0.1780,0.7840,0.0330,0.8591,0.4131,0.5084,0.1787,0.2306,0.2160,0.9645,0.4011
1009,876620612ffffff,11.0467,-73.8974,7,47001,Santa Marta,Magdalena,7.8800,16.4000,142.5000,134.0000,0.2390,1.0000,0.0000,0.8645,0.3344,0.4300,0.1067,0.3096,0.0000,1.0000,0.4009
1010,876623d1effffff,10.8240,-74.0153,7,47980,Zona Bananera,Magdalena,7.9300,15.4400,121.7000,116.1000,0.1520,0.9520,0.0040,0.8713,0.3734,0.5132,0.2260,0.1969,0.0480,0.9957,0.4005
1011,876620768ffffff,11.1112,-73.6193,7,44090,Dibulla,La Guajira,8.1700,15.4000,171.6000,140.8000,0.2790,0.5600,0.0000,0.9038,0.3750,0.3136,0.0613,0.3614,0.4400,1.0000,0.4005
1012,876623c71ffffff,10.6585,-73.8747,7,47980,Zona Bananera,Magdalena,7.2700,16.8100,124.0000,126.3000,0.1960,0.6870,0.0000,0.7818,0.3178,0.5040,0.1580,0.2539,0.3130,1.0000,0.4004
1013,876620798ffffff,11.0985,-73.9704,7,47001,Santa Marta,Magdalena,8.3700,15.3000,137.9000,134.3000,0.2610,1.0000,0.0330,0.9309,0.3791,0.4484,0.1047,0.3381,0.0000,0.9645,0.4003
1014,876623c2effffff,10.7310,-73.9460,7,47980,Zona Bananera,Magdalena,8.0300,14.4800,123.4000,123.3000,0.2220,0.8380,0.0560,0.8848,0.4123,0.5064,0.1780,0.2876,0.1620,0.9398,0.4001
1015,876623d56ffffff,10.7798,-73.9220,7,47980,Zona Bananera,Magdalena,7.3500,14.1400,122.5000,121.7000,0.2020,0.8940,0.0460,0.7927,0.4261,0.5100,0.1887,0.2617,0.1060,0.9505,0.4000
1016,876623199ffffff,10.4185,-73.8773,7,20238,El Copey,Cesar,7.2800,15.7100,116.6000,129.9000,0.1460,0.3280,0.0000,0.7832,0.3624,0.5336,0.1340,0.1891,0.6720,1.0000,0.3998
1017,8766206d3ffffff,10.8901,-73.8923,7,47980,Zona Bananera,Magdalena,7.7300,15.2600,127.6000,128.4000,0.2650,0.9720,0.0470,0.8442,0.3807,0.4896,0.1440,0.3433,0.0280,0.9495,0.3998
1018,876623520ffffff,10.5669,-74.1171,7,47053,Aracataca,Magdalena,7.8200,14.6500,100.4000,95.0000,0.0720,0.4810,0.0030,0.8564,0.4054,0.5984,0.3667,0.0933,0.5190,0.9968,0.3997
1019,876623561ffffff,10.4629,-73.9707,7,47288,Fundaci�N,Magdalena,7.3100,15.8600,110.2000,110.2000,0.1180,0.3920,0.0000,0.7873,0.3563,0.5592,0.2653,0.1528,0.6080,1.0000,0.3997
1020,876623d2affffff,10.8544,-73.9346,7,47980,Zona Bananera,Magdalena,7.6300,15.4100,123.3000,130.6000,0.2570,0.9910,0.0440,0.8306,0.3746,0.5068,0.1293,0.3329,0.0090,0.9527,0.3995
1021,8766207b2ffffff,11.1857,-74.0013,7,47001,Santa Marta,Magdalena,7.8400,14.4500,144.3000,134.4000,0.2990,0.9760,0.0460,0.8591,0.4136,0.4228,0.1040,0.3873,0.0240,0.9505,0.3994
1022,876623cb2ffffff,10.7013,-74.1827,7,47980,Zona Bananera,Magdalena,7.6500,14.3200,97.5000,91.6000,0.0980,0.7040,0.0330,0.8333,0.4188,0.6100,0.3893,0.1269,0.2960,0.9645,0.3993
1023,876620458ffffff,11.2417,-73.9571,7,47001,Santa Marta,Magdalena,8.1300,13.4700,154.5000,136.5000,0.2090,0.8710,0.0210,0.8984,0.4533,0.3820,0.0900,0.2707,0.1290,0.9774,0.3993
1024,876620616ffffff,11.0672,-73.8955,7,47001,Santa Marta,Magdalena,7.9700,15.1900,140.7000,137.5000,0.2360,1.0000,0.0160,0.8767,0.3835,0.4372,0.0833,0.3057,0.0000,0.9828,0.3991
1025,876623132ffffff,10.5729,-73.7852,7,20570,Pueblo Bello,Cesar,7.7700,15.0800,130.5000,136.0000,0.2110,0.4950,0.0290,0.8496,0.3880,0.4780,0.0933,0.2733,0.5050,0.9688,0.3991
1026,876622a64ffffff,11.0196,-74.0751,7,47189,Ci�Naga,Magdalena,7.7600,14.1200,122.8000,115.0000,0.1160,1.0000,0.0000,0.8482,0.4269,0.5088,0.2333,0.1503,0.0000,1.0000,0.3990
1027,87662310cffffff,10.5079,-73.6938,7,20570,Pueblo Bello,Cesar,7.0000,16.3400,140.9000,147.1000,0.2670,0.3820,0.0000,0.7453,0.3369,0.4364,0.0193,0.3459,0.6180,1.0000,0.3989
1028,876623195ffffff,10.4858,-73.9101,7,47288,Fundaci�N,Magdalena,7.6700,15.8000,120.0000,121.5000,0.1390,0.4400,0.0000,0.8360,0.3588,0.5200,0.1900,0.1801,0.5600,1.0000,0.3989
1029,876622261ffffff,10.6448,-74.2269,7,47268,El Ret�N,Magdalena,7.8000,15.5900,92.0000,90.3000,0.1230,0.5690,0.0460,0.8537,0.3673,0.6320,0.3980,0.1593,0.4310,0.9505,0.3989
1030,876622b26ffffff,11.2460,-74.2098,7,47001,Santa Marta,Magdalena,8.4300,13.1300,137.5000,116.5000,0.1070,0.7290,0.0000,0.9390,0.4671,0.4500,0.2233,0.1386,0.2710,1.0000,0.3988
1031,876623c11ffffff,10.7005,-74.0267,7,47980,Zona Bananera,Magdalena,7.9300,15.0400,105.2000,113.3000,0.1040,0.7960,0.0000,0.8713,0.3896,0.5792,0.2447,0.1347,0.2040,1.0000,0.3988
1032,87662076affffff,11.1037,-73.6394,7,44090,Dibulla,La Guajira,7.7700,14.8400,167.1000,135.9000,0.2380,0.6080,0.0000,0.8496,0.3977,0.3316,0.0940,0.3083,0.3920,1.0000,0.3988
1033,876623186ffffff,10.4935,-73.8899,7,47288,Fundaci�N,Magdalena,7.7000,14.0000,127.5000,119.7000,0.1750,0.4230,0.0480,0.8401,0.4318,0.4900,0.2020,0.2267,0.5770,0.9484,0.3986
1034,8766231b0ffffff,10.5271,-73.9063,7,47288,Fundaci�N,Magdalena,7.5300,14.9600,123.9000,123.7000,0.1920,0.4880,0.0380,0.8171,0.3929,0.5044,0.1753,0.2487,0.5120,0.9591,0.3982
1035,876623d84ffffff,10.8271,-74.1125,7,47980,Zona Bananera,Magdalena,8.2100,13.3000,112.8000,108.6000,0.1400,0.9220,0.0570,0.9092,0.4602,0.5488,0.2760,0.1813,0.0780,0.9387,0.3981
1036,876620793ffffff,11.1243,-74.0070,7,47001,Santa Marta,Magdalena,8.3500,15.6200,149.4000,127.9000,0.2060,1.0000,0.0000,0.9282,0.3661,0.4024,0.1473,0.2668,0.0000,1.0000,0.3980
1037,876620666ffffff,11.0272,-73.6853,7,44090,Dibulla,La Guajira,7.8300,14.1800,156.4000,138.9000,0.2360,0.7320,0.0160,0.8577,0.4245,0.3744,0.0740,0.3057,0.2680,0.9828,0.3979
1038,876623d19ffffff,10.7981,-73.9787,7,47980,Zona Bananera,Magdalena,7.8200,14.4800,115.5000,128.9000,0.1270,0.8820,0.0000,0.8564,0.4123,0.5380,0.1407,0.1645,0.1180,1.0000,0.3978
1039,876623d04ffffff,10.8803,-73.9711,7,47980,Zona Bananera,Magdalena,7.6600,14.5100,131.2000,119.5000,0.1420,1.0000,0.0000,0.8347,0.4111,0.4752,0.2033,0.1839,0.0000,1.0000,0.3977
1040,8766204eeffffff,11.2525,-74.0340,7,47001,Santa Marta,Magdalena,8.2600,13.8100,147.2000,131.3000,0.1820,0.8340,0.0150,0.9160,0.4395,0.4112,0.1247,0.2358,0.1660,0.9839,0.3977
1041,87662048bffffff,11.2611,-74.1695,7,47001,Santa Marta,Magdalena,8.4900,14.3700,135.3000,122.1000,0.1370,0.7700,0.0000,0.9472,0.4168,0.4588,0.1860,0.1775,0.2300,1.0000,0.3976
1042,876623c00ffffff,10.7158,-73.9863,7,47980,Zona Bananera,Magdalena,7.8600,14.6600,101.6000,115.8000,0.1090,0.8260,0.0100,0.8618,0.4050,0.5936,0.2280,0.1412,0.1740,0.9892,0.3972
1043,876623d72ffffff,10.8079,-73.8999,7,47980,Zona Bananera,Magdalena,7.6200,15.2500,126.0000,126.4000,0.1970,0.9060,0.0240,0.8293,0.3811,0.4960,0.1573,0.2552,0.0940,0.9742,0.3972
1044,876623c01ffffff,10.7028,-73.9680,7,47980,Zona Bananera,Magdalena,7.5600,15.6100,116.1000,119.1000,0.1400,0.7840,0.0000,0.8211,0.3665,0.5356,0.2060,0.1813,0.2160,1.0000,0.3971
1045,876622aebffffff,10.8790,-74.1856,7,47980,Zona Bananera,Magdalena,8.5400,14.3100,102.0000,104.3000,0.1060,0.8890,0.0310,0.9539,0.4192,0.5920,0.3047,0.1373,0.1110,0.9667,0.3970
